customer_age,device_type,product_category,item_price,discount_percentage,is_first_time_buyer,returned
18.0,Mobile,Home,186.02,0.0,No,0
35.0,Mobile,Beauty,300.55,10.0,No,0
35.0,Desktop,Electronics,90.13,10.0,No,0
22.0,Desktop,Electronics,201.63,50.0,No,1
18.0,Mobile,Clothing,485.01,10.0,No,0
22.0,Mobile,Electronics,136.49,20.0,No,0
,Mobile,Home,331.8,0.0,No,0
22.0,Mobile,Electronics,169.34,10.0,No,1
35.0,Mobile,Clothing,389.0,0.0,No,0
45.0,Mobile,Beauty,74.13,0.0,No,0
22.0,Mobile,Clothing,485.21,20.0,No,1
,Mobile,Clothing,232.36,,No,1
,Mobile,Beauty,125.66,0.0,No,0
22.0,Mobile,Clothing,46.01,10.0,Yes,0
35.0,Mobile,Clothing,93.18,20.0,No,0
22.0,Mobile,Electronics,264.69,0.0,Yes,0
22.0,Mobile,Electronics,175.13,10.0,No,0
18.0,Desktop,Beauty,416.15,20.0,No,1
45.0,Mobile,Electronics,221.13,10.0,Yes,0
35.0,Desktop,Electronics,131.87,0.0,Yes,0
18.0,Desktop,Clothing,312.4,0.0,No,0
22.0,Mobile,Home,356.32,20.0,No,0
,Mobile,Electronics,91.85,10.0,No,0
22.0,Mobile,Home,92.13,0.0,Yes,0
18.0,Mobile,Electronics,27.97,20.0,No,0
35.0,Desktop,Electronics,370.84,0.0,No,0
,Mobile,Beauty,335.26,20.0,No,0
22.0,Mobile,Beauty,242.57,0.0,No,0
45.0,Mobile,Beauty,423.64,,No,1
45.0,Mobile,Home,404.78,0.0,Yes,0
22.0,Desktop,Clothing,296.82,0.0,No,0
45.0,Mobile,Electronics,435.45,0.0,No,0
22.0,Mobile,Electronics,110.86,0.0,No,0
45.0,nan,Electronics,64.84,50.0,Yes,0
45.0,Desktop,Home,142.18,,No,0
35.0,Mobile,Beauty,37.97,0.0,Yes,1
18.0,Mobile,Clothing,270.27,10.0,No,0
60.0,Mobile,Home,468.94,20.0,No,0
22.0,Mobile,Beauty,29.28,50.0,No,0
18.0,Mobile,Home,69.83,10.0,Yes,1
18.0,Mobile,Clothing,231.58,0.0,Yes,0
35.0,Mobile,Beauty,467.6,10.0,No,0
45.0,Mobile,Home,164.92,10.0,Yes,0
18.0,Desktop,Clothing,258.55,0.0,Yes,0
35.0,Mobile,Electronics,30.37,10.0,No,1
22.0,Mobile,Clothing,82.69,0.0,No,0
45.0,Mobile,Electronics,493.45,20.0,Yes,0
18.0,nan,Home,482.91,0.0,No,1
45.0,Mobile,Beauty,12.42,10.0,Yes,1
22.0,Mobile,Beauty,476.39,10.0,No,1
,nan,Home,323.17,10.0,No,0
18.0,Desktop,Beauty,435.28,0.0,No,0
22.0,Desktop,Beauty,232.82,10.0,No,0
18.0,Mobile,Electronics,262.64,10.0,No,0
,Mobile,Home,249.53,10.0,No,0
60.0,Desktop,Clothing,336.76,10.0,Yes,0
22.0,Tablet,Electronics,78.43,10.0,No,0
45.0,Mobile,Home,24.69,20.0,No,0
60.0,Mobile,Electronics,160.89,0.0,No,0
35.0,Mobile,Clothing,355.29,20.0,No,0
35.0,Desktop,Clothing,108.91,10.0,No,1
22.0,Mobile,Home,339.98,0.0,Yes,0
18.0,Mobile,Clothing,485.26,0.0,No,0
60.0,Mobile,Electronics,56.01,0.0,No,0
,Mobile,Clothing,339.58,20.0,No,0
45.0,Mobile,Electronics,227.44,20.0,No,0
22.0,Mobile,Electronics,435.39,20.0,No,0
22.0,Desktop,Clothing,96.8,10.0,No,0
45.0,Mobile,Home,349.39,10.0,Yes,0
60.0,Mobile,Beauty,420.68,0.0,Yes,0
60.0,Mobile,Clothing,472.86,0.0,Yes,0
45.0,Mobile,Electronics,344.79,10.0,No,1
45.0,Mobile,Electronics,253.62,0.0,Yes,1
18.0,Mobile,Clothing,312.75,0.0,No,0
18.0,Mobile,Home,435.76,10.0,No,0
60.0,Mobile,Home,289.6,20.0,No,0
45.0,Mobile,Electronics,24.89,,No,1
18.0,nan,Electronics,466.16,50.0,Yes,0
18.0,Mobile,Home,347.87,10.0,No,0
45.0,Desktop,Beauty,341.49,10.0,No,1
18.0,Mobile,Clothing,115.68,10.0,No,0
18.0,Desktop,Electronics,332.85,20.0,No,1
35.0,Desktop,Electronics,202.99,0.0,No,0
45.0,Mobile,Home,329.1,10.0,No,0
45.0,Mobile,Clothing,62.23,20.0,No,0
22.0,Mobile,Home,332.34,0.0,No,1
45.0,Mobile,Clothing,499.71,10.0,No,1
22.0,Tablet,Clothing,33.62,10.0,Yes,0
22.0,Desktop,Clothing,488.82,0.0,No,0
45.0,nan,Electronics,209.38,0.0,Yes,0
45.0,Mobile,Beauty,436.67,0.0,No,1
60.0,Desktop,Home,393.37,0.0,No,0
45.0,Tablet,Beauty,287.84,0.0,Yes,0
35.0,Mobile,Home,371.84,20.0,No,0
18.0,Mobile,Clothing,440.47,0.0,No,0
22.0,Desktop,Electronics,208.03,10.0,No,0
22.0,Mobile,Beauty,170.25,0.0,No,0
22.0,Desktop,Electronics,337.12,50.0,No,0
,Mobile,Home,405.84,0.0,Yes,1
22.0,Desktop,Electronics,383.52,10.0,No,0
60.0,Mobile,Electronics,400.93,50.0,Yes,0
45.0,Mobile,Beauty,223.44,20.0,No,1
45.0,Mobile,Clothing,410.74,0.0,Yes,0
35.0,Desktop,Electronics,68.9,20.0,No,0
35.0,Desktop,Clothing,276.8,10.0,No,0
35.0,Mobile,Home,12.82,10.0,Yes,1
18.0,Mobile,Electronics,169.05,0.0,No,0
45.0,Desktop,Beauty,189.57,0.0,No,1
22.0,Mobile,Home,204.12,20.0,No,0
18.0,Desktop,Home,350.78,10.0,No,0
45.0,Mobile,Beauty,200.39,10.0,No,0
18.0,Mobile,Electronics,229.86,20.0,No,1
,Mobile,Electronics,126.4,20.0,Yes,0
,Mobile,Home,192.89,0.0,Yes,1
,Desktop,Electronics,121.36,10.0,No,0
22.0,Mobile,Clothing,45.87,0.0,No,0
18.0,Mobile,Beauty,305.69,20.0,No,0
,Desktop,Clothing,337.42,10.0,No,1
35.0,Mobile,Electronics,313.55,,No,0
,Mobile,Home,237.11,0.0,No,0
,Tablet,Beauty,196.1,0.0,No,0
60.0,Desktop,Electronics,433.03,0.0,No,1
22.0,Mobile,Electronics,264.35,0.0,No,0
22.0,Tablet,Home,244.8,0.0,No,0
60.0,Desktop,Home,22.56,50.0,No,0
22.0,Mobile,Clothing,177.21,0.0,No,0
18.0,Mobile,Beauty,196.3,0.0,Yes,0
35.0,Desktop,Beauty,205.42,20.0,Yes,1
,Desktop,Home,294.28,10.0,No,1
45.0,Mobile,Clothing,271.47,20.0,No,0
35.0,Desktop,Beauty,307.87,0.0,No,0
18.0,Desktop,Home,384.79,10.0,No,0
45.0,Mobile,Electronics,408.36,0.0,Yes,0
,Mobile,Beauty,361.88,0.0,No,0
18.0,Mobile,Clothing,478.21,50.0,No,0
35.0,Desktop,Clothing,18.93,0.0,No,0
60.0,Mobile,Clothing,105.93,10.0,No,0
45.0,Mobile,Electronics,13.71,10.0,No,0
45.0,Desktop,Beauty,327.26,0.0,Yes,0
45.0,Desktop,Beauty,450.03,50.0,No,0
22.0,Mobile,Electronics,129.31,0.0,No,0
22.0,Desktop,Beauty,464.25,10.0,No,0
60.0,Mobile,Electronics,39.53,,No,0
60.0,Desktop,Electronics,467.87,10.0,Yes,0
60.0,Mobile,Electronics,182.3,50.0,Yes,0
,Mobile,Clothing,59.7,0.0,No,0
35.0,Desktop,Beauty,248.08,10.0,No,0
35.0,Mobile,Electronics,135.82,0.0,Yes,0
45.0,Mobile,Beauty,149.59,20.0,Yes,1
45.0,Desktop,Clothing,160.57,,No,0
45.0,Desktop,Electronics,403.48,0.0,Yes,0
45.0,Desktop,Home,274.19,10.0,No,0
60.0,Desktop,Clothing,162.54,0.0,No,0
22.0,Mobile,Home,309.06,10.0,No,0
22.0,Mobile,Beauty,360.91,10.0,Yes,0
18.0,Mobile,Beauty,143.59,,Yes,0
35.0,Mobile,Clothing,212.64,10.0,No,0
18.0,Tablet,Beauty,69.72,0.0,No,0
35.0,Mobile,Home,98.76,0.0,No,0
35.0,Mobile,Electronics,343.75,0.0,Yes,1
22.0,Mobile,Electronics,98.9,0.0,No,0
35.0,Tablet,Electronics,267.33,0.0,No,0
18.0,Mobile,Clothing,357.43,50.0,No,0
18.0,Mobile,Beauty,62.37,10.0,No,1
60.0,Mobile,Home,287.98,10.0,No,0
22.0,Desktop,Beauty,135.72,0.0,No,0
18.0,Mobile,Beauty,481.83,50.0,Yes,0
35.0,Desktop,Beauty,246.94,20.0,No,0
45.0,Tablet,Electronics,404.94,0.0,Yes,0
22.0,Mobile,Home,279.61,20.0,No,0
45.0,Desktop,Home,31.27,10.0,No,0
18.0,Tablet,Beauty,320.24,0.0,Yes,0
18.0,Desktop,Electronics,476.19,10.0,No,0
35.0,Mobile,Electronics,304.79,10.0,Yes,0
35.0,Mobile,Home,411.4,0.0,No,0
45.0,Desktop,Electronics,443.26,50.0,No,0
45.0,Mobile,Electronics,121.76,20.0,Yes,0
,Desktop,Electronics,113.9,10.0,No,1
35.0,Tablet,Clothing,309.38,10.0,No,0
22.0,Tablet,Beauty,211.4,10.0,Yes,0
45.0,Mobile,Home,421.53,10.0,Yes,0
22.0,Mobile,Home,451.01,10.0,No,1
35.0,nan,Clothing,183.18,0.0,No,0
18.0,Desktop,Beauty,126.07,10.0,No,0
18.0,Mobile,Home,392.46,20.0,Yes,0
,Tablet,Electronics,144.65,10.0,Yes,0
60.0,Desktop,Home,413.08,0.0,No,0
45.0,Mobile,Electronics,217.63,20.0,Yes,0
35.0,Mobile,Clothing,337.1,0.0,Yes,0
18.0,Mobile,Electronics,56.81,0.0,Yes,1
18.0,Mobile,Home,315.69,0.0,No,0
22.0,Mobile,Home,231.37,0.0,No,0
35.0,Desktop,Home,297.44,20.0,No,0
45.0,Mobile,Clothing,92.33,10.0,No,0
45.0,Mobile,Clothing,371.07,0.0,No,0
22.0,Mobile,Beauty,432.77,50.0,No,0
,Mobile,Home,116.2,50.0,Yes,0
45.0,Tablet,Electronics,56.9,50.0,No,1
35.0,Mobile,Clothing,21.58,0.0,No,1
45.0,Mobile,Home,324.57,10.0,No,0
35.0,Desktop,Home,307.48,,No,0
22.0,Mobile,Clothing,277.88,20.0,No,1
22.0,Mobile,Beauty,123.65,0.0,Yes,0
45.0,Mobile,Clothing,201.54,0.0,No,1
18.0,Mobile,Clothing,301.29,10.0,No,0
18.0,Mobile,Electronics,253.42,50.0,No,0
18.0,Mobile,Electronics,494.01,10.0,No,0
18.0,Mobile,Beauty,76.86,10.0,No,0
60.0,Tablet,Home,350.62,0.0,Yes,0
45.0,Mobile,Clothing,208.12,10.0,No,0
35.0,Mobile,Beauty,219.82,20.0,Yes,0
18.0,Desktop,Electronics,361.62,0.0,No,0
35.0,Mobile,Clothing,349.29,20.0,No,0
35.0,Desktop,Home,495.72,,No,1
18.0,Mobile,Electronics,72.91,0.0,No,0
35.0,nan,Electronics,61.01,10.0,No,1
22.0,Mobile,Electronics,364.93,0.0,Yes,0
45.0,Mobile,Beauty,293.41,20.0,No,0
45.0,Mobile,Home,144.34,10.0,Yes,1
18.0,nan,Clothing,48.92,10.0,No,0
22.0,Mobile,Beauty,51.97,20.0,Yes,0
45.0,Mobile,Beauty,448.15,0.0,Yes,0
35.0,Mobile,Beauty,104.01,50.0,No,0
60.0,Desktop,Electronics,168.45,10.0,Yes,0
45.0,Mobile,Home,121.06,0.0,No,1
18.0,Desktop,Beauty,183.95,10.0,No,0
18.0,Mobile,Clothing,44.02,20.0,Yes,0
45.0,Mobile,Home,264.34,0.0,No,0
18.0,Mobile,Clothing,43.13,50.0,Yes,0
35.0,Mobile,Home,402.17,50.0,Yes,0
,Mobile,Clothing,124.52,0.0,No,0
35.0,Mobile,Electronics,274.61,,Yes,0
22.0,Desktop,Beauty,441.24,0.0,No,0
45.0,Mobile,Clothing,328.93,0.0,Yes,0
35.0,Mobile,Home,271.15,0.0,Yes,0
35.0,Mobile,Beauty,168.92,50.0,No,0
,Mobile,Beauty,173.17,10.0,No,0
22.0,Mobile,Home,338.05,0.0,Yes,1
,Mobile,Clothing,497.13,10.0,No,0
,Mobile,Electronics,334.3,10.0,Yes,0
18.0,Desktop,Electronics,283.31,0.0,No,0
18.0,Tablet,Clothing,368.02,50.0,No,0
18.0,Mobile,Beauty,237.95,20.0,No,0
18.0,Mobile,Beauty,39.47,10.0,No,0
18.0,Desktop,Beauty,285.53,,No,0
45.0,Mobile,Beauty,479.24,10.0,No,0
18.0,Mobile,Clothing,95.9,,No,0
22.0,Mobile,Beauty,348.1,10.0,No,0
60.0,Desktop,Home,108.46,10.0,Yes,0
18.0,Desktop,Beauty,272.56,0.0,No,0
60.0,Mobile,Electronics,57.37,50.0,No,1
22.0,Mobile,Beauty,230.68,10.0,No,1
18.0,Mobile,Clothing,380.52,0.0,No,1
45.0,Desktop,Electronics,180.31,0.0,No,1
45.0,Mobile,Clothing,335.81,10.0,Yes,1
60.0,Mobile,Clothing,399.77,10.0,Yes,0
45.0,Desktop,Electronics,464.32,20.0,No,0
60.0,Mobile,Clothing,124.97,50.0,No,0
22.0,Desktop,Clothing,205.66,0.0,No,0
18.0,Mobile,Beauty,84.68,20.0,No,0
45.0,Mobile,Home,496.32,0.0,No,0
60.0,Mobile,Clothing,464.23,50.0,No,0
,Desktop,Clothing,274.58,20.0,Yes,0
35.0,Desktop,Clothing,422.6,10.0,Yes,1
22.0,Desktop,Beauty,265.27,20.0,No,0
45.0,Mobile,Home,315.56,0.0,No,0
22.0,Desktop,Electronics,53.67,10.0,Yes,0
,Mobile,Beauty,380.08,20.0,No,0
60.0,Mobile,Beauty,72.58,10.0,No,1
35.0,Desktop,Home,414.77,0.0,No,0
45.0,Mobile,Home,393.19,10.0,No,0
45.0,Mobile,Beauty,357.28,20.0,No,0
18.0,Mobile,Electronics,27.72,0.0,Yes,0
,Mobile,Beauty,158.53,0.0,No,0
35.0,Mobile,Home,138.93,20.0,No,0
60.0,Mobile,Electronics,186.47,20.0,Yes,0
22.0,Mobile,Home,52.94,0.0,No,0
60.0,Desktop,Electronics,469.11,0.0,No,0
22.0,Desktop,Clothing,281.36,0.0,No,1
18.0,Mobile,Home,159.71,0.0,No,0
,Mobile,Home,204.52,10.0,Yes,1
18.0,Mobile,Beauty,229.13,20.0,No,0
22.0,Mobile,Home,304.29,10.0,No,0
,Mobile,Home,262.68,10.0,No,0
,Desktop,Clothing,460.5,0.0,Yes,0
35.0,Mobile,Home,253.51,20.0,No,0
45.0,Mobile,Clothing,496.16,10.0,No,0
35.0,Mobile,Clothing,427.2,,Yes,0
22.0,Mobile,Clothing,112.17,10.0,Yes,1
22.0,Tablet,Clothing,465.99,0.0,No,0
45.0,Desktop,Electronics,67.02,10.0,No,0
45.0,Mobile,Beauty,410.55,0.0,No,0
45.0,Desktop,Electronics,196.51,10.0,No,0
45.0,Mobile,Home,440.21,0.0,No,0
18.0,Desktop,Electronics,435.35,0.0,No,0
35.0,Desktop,Electronics,404.9,50.0,Yes,0
18.0,Mobile,Home,397.11,0.0,No,0
35.0,Mobile,Home,159.29,20.0,Yes,0
35.0,Mobile,Home,49.65,0.0,No,0
60.0,Mobile,Electronics,207.46,10.0,Yes,1
22.0,Desktop,Electronics,95.03,10.0,Yes,1
18.0,Mobile,Home,350.53,10.0,No,0
18.0,Mobile,Beauty,179.59,0.0,Yes,0
45.0,Desktop,Beauty,488.05,0.0,No,0
45.0,nan,Clothing,324.08,0.0,Yes,0
18.0,Mobile,Home,413.02,0.0,No,0
18.0,Mobile,Clothing,74.94,10.0,No,0
45.0,Mobile,Beauty,432.39,50.0,Yes,0
18.0,Mobile,Clothing,462.15,50.0,Yes,0
60.0,Tablet,Home,248.66,20.0,No,0
45.0,Mobile,Home,307.06,20.0,No,1
18.0,Mobile,Home,384.76,10.0,No,0
18.0,Mobile,Electronics,95.67,0.0,No,0
,Mobile,Clothing,256.26,50.0,No,1
22.0,Desktop,Beauty,205.34,10.0,Yes,1
22.0,Desktop,Beauty,81.72,10.0,No,0
60.0,Mobile,Beauty,190.09,0.0,No,0
,Mobile,Electronics,43.4,10.0,No,0
,Mobile,Electronics,22.65,10.0,No,1
45.0,Tablet,Home,76.23,50.0,No,1
22.0,Desktop,Beauty,481.93,10.0,No,0
18.0,Mobile,Electronics,279.27,0.0,No,0
45.0,Desktop,Home,483.25,,No,0
35.0,Desktop,Beauty,221.92,0.0,No,0
35.0,Mobile,Clothing,162.79,10.0,Yes,0
,Tablet,Home,258.01,0.0,Yes,1
18.0,Mobile,Electronics,225.36,20.0,No,0
35.0,Mobile,Electronics,61.78,50.0,No,1
18.0,Mobile,Home,324.0,0.0,Yes,1
35.0,Mobile,Home,115.86,50.0,Yes,0
18.0,Mobile,Electronics,313.6,0.0,Yes,0
18.0,Desktop,Clothing,328.6,50.0,Yes,0
18.0,Mobile,Beauty,84.49,20.0,No,0
45.0,Desktop,Clothing,40.06,20.0,No,0
45.0,Mobile,Home,392.57,0.0,No,0
35.0,Mobile,Clothing,235.3,,No,0
,Mobile,Electronics,38.5,20.0,Yes,0
22.0,Mobile,Home,497.48,0.0,Yes,0
22.0,Desktop,Beauty,38.31,20.0,No,0
60.0,Mobile,Electronics,350.57,0.0,No,0
22.0,Mobile,Electronics,492.0,50.0,No,0
,Mobile,Beauty,127.2,0.0,Yes,0
18.0,Desktop,Beauty,79.7,20.0,No,0
,Tablet,Clothing,69.48,10.0,No,0
18.0,Desktop,Home,158.6,0.0,No,0
60.0,Mobile,Beauty,59.51,0.0,No,0
35.0,Mobile,Beauty,349.16,0.0,No,0
,Mobile,Home,40.52,10.0,No,1
18.0,Mobile,Beauty,259.62,0.0,Yes,0
35.0,Mobile,Beauty,498.38,10.0,Yes,0
,Mobile,Clothing,408.85,0.0,Yes,0
35.0,Mobile,Electronics,311.46,0.0,No,0
45.0,Mobile,Electronics,160.06,20.0,No,0
45.0,Desktop,Electronics,315.71,0.0,No,0
35.0,Mobile,Electronics,268.25,50.0,Yes,0
45.0,Mobile,Beauty,218.78,50.0,No,0
35.0,Desktop,Home,74.05,10.0,No,0
,Mobile,Home,444.44,10.0,No,0
18.0,Desktop,Clothing,230.39,50.0,No,0
22.0,Mobile,Clothing,105.37,0.0,No,1
,Mobile,Beauty,190.2,0.0,No,0
60.0,Desktop,Home,212.92,0.0,Yes,0
35.0,Desktop,Home,415.49,20.0,No,0
45.0,Desktop,Electronics,369.47,0.0,Yes,0
22.0,Mobile,Beauty,386.96,10.0,Yes,0
18.0,Mobile,Beauty,15.41,,Yes,0
35.0,Mobile,Electronics,213.92,50.0,No,0
22.0,Mobile,Beauty,245.86,10.0,No,0
35.0,Tablet,Beauty,19.4,0.0,No,0
18.0,Mobile,Clothing,137.31,20.0,Yes,0
,nan,Home,382.54,10.0,No,1
,Mobile,Beauty,77.18,0.0,No,0
