Company_Name,Rating,Reviews,Domain,Primary_Location
Amdocs,3.6,5.1k,Software Product,Pune
Atos,3.8,5.1k,IT Services & Consulting,Pune
vivo,4.0,5k,Consumer Electronics & Appliances,Noida
Varun Beverages,4.0,5k,Beverage,New Delhi
Utkarsh Small Finance Bank,3.6,5k,Banking,Varanasi
JBM Group,3.9,5k,Auto Components,Gurugram
Ecom Express,4.1,4.9k,Logistics,Gurugram
Randstad,3.7,4.9k,Recruitment,Hyderabad
Lenskart,3.4,4.8k,Internet,New Delhi
Nagarro,3.9,4.8k,IT Services & Consulting,Gurugram
EY Global Delivery Services ( EY GDS),3.5,4.8k,IT Services & Consulting,Bengaluru
Bosch,4.1,4.8k,Auto Components,Bengaluru
Hetero,3.9,4.8k,Pharma,Hyderabad
Intas Pharmaceuticals,4.1,4.8k,Pharma,Ahmedabad
Eviden,3.6,4.8k,IT Services & Consulting,Pune
Havells,3.9,4.8k,Electrical Equipment,Noida
L&T Finance,3.9,4.8k,NBFC,Mumbai
Aditya Birla Fashion and Retail,4.1,4.8k,Fashion & Textile,Bengaluru
R1 RCM,3.8,4.7k,BPO,Hyderabad
Tata AIA Life Insurance,3.8,4.7k,Insurance,Mumbai
Hewlett Packard Enterprise,4.0,4.7k,IT Services & Consulting,Bengaluru
Cars24,3.4,4.7k,Internet,Gurugram
Mahindra Logistics,3.7,4.7k,Logistics,Mumbai
Berger Paints,3.7,4.7k,Chemicals,Kolkata
Dell,3.8,4.6k,Consumer Electronics & Appliances,Bengaluru
Deutsche Bank,3.8,4.6k,Banking,Pune
Home Credit Finance,4.0,4.6k,NBFC,Gurugram
Motilal Oswal Financial Services,3.7,4.6k,Financial Services,Mumbai
OPPO,3.9,4.5k,Consumer Electronics & Appliances,Greater Noida
TeamLease Services,3.9,4.5k,Recruitment,Bengaluru
Hyundai Motor India Limited,4.1,4.5k,Automobile,Chennai
VE Commercial Vehicles,3.9,4.5k,Automobile,Indore
Thermax Limited,4.2,4.4k,Industrial Machinery,Pune
Jubilant Foods Works,3.7,4.4k,Hospitality,Noida
Macleods Pharmaceuticals,3.7,4.4k,Pharma,Mumbai
Carelon Global Solutions,4.0,4.4k,IT Services & Consulting,Bengaluru
Jindal Steel Limited,3.9,4.3k,Iron & Steel,Angul
Aakash Educational Services,3.2,4.3k,Education & Training,New Delhi
State Street Corporation,3.5,4.3k,Financial Services,Bengaluru
Hindalco Industries,4.2,4.3k,Metals & Mining,Sambalpur
Bajaj Auto,3.8,4.3k,Automobile,Pune
LG Electronics,3.8,4.3k,Consumer Electronics & Appliances,Pune
HDFC ERGO General Insurance,3.9,4.2k,Insurance,Mumbai
DCB Bank,3.8,4.2k,Banking,Mumbai
Kogta Financial India Limited,4.6,4.2k,NBFC,Jaipur
Royal Enfield,4.2,4.2k,Automobile,Chennai
RBL Bank,3.5,4.2k,Banking,Mumbai
John Deere,4.0,4.2k,Industrial Machinery,Pune
Publicis Sapient,3.2,4.1k,IT Services & Consulting,Bengaluru
Cloudnine Hospital,4.5,4.1k,Healthcare,Bengaluru
Tata Communications,3.8,4.1k,Telecom,Pune
Cummins,4.3,4.1k,Industrial Machinery,Pune
Pidilite Industries,4.2,4.1k,Chemicals,Mumbai
Alembic Pharmaceuticals,3.9,4.1k,Pharma,Vadodara
Grasim Industries,4.0,4.1k,Building Material,Bharuch
Aditya Birla Sun Life Insurance,4.0,4.1k,Insurance,Mumbai
Bank of America,4.1,4k,Banking,Gurugram
PNB MetLife,3.3,4k,Insurance,New Delhi
American Express,4.1,4k,Financial Services,Gurugram
